date,year,month,day,weekday,season,is_weekend,holiday,isMyBirthday
1970-04-22,1970,April,22,Wednesday,Spring,False,,False
1970-04-23,1970,April,23,Thursday,Spring,False,,False
1970-04-24,1970,April,24,Friday,Spring,False,,False
1970-04-25,1970,April,25,Saturday,Spring,True,,False
1970-04-26,1970,April,26,Sunday,Spring,True,,False
1970-04-27,1970,April,27,Monday,Spring,False,,False
1970-04-28,1970,April,28,Tuesday,Spring,False,,False
1970-04-29,1970,April,29,Wednesday,Spring,False,,False
1970-04-30,1970,April,30,Thursday,Spring,False,Koninginnedag,False
1970-05-01,1970,May,1,Friday,Spring,False,,False
1970-05-02,1970,May,2,Saturday,Spring,True,,False
1970-05-03,1970,May,3,Sunday,Spring,True,,False
1970-05-04,1970,May,4,Monday,Spring,False,,False
1970-05-05,1970,May,5,Tuesday,Spring,False,,False
1970-05-06,1970,May,6,Wednesday,Spring,False,,False
1970-05-07,1970,May,7,Thursday,Spring,False,Hemelvaartsdag,False
1970-05-08,1970,May,8,Friday,Spring,False,,False
1970-05-09,1970,May,9,Saturday,Spring,True,,False
1970-05-10,1970,May,10,Sunday,Spring,True,,False
1970-05-11,1970,May,11,Monday,Spring,False,,False
1970-05-12,1970,May,12,Tuesday,Spring,False,,False
1970-05-13,1970,May,13,Wednesday,Spring,False,,False
1970-05-14,1970,May,14,Thursday,Spring,False,,False
1970-05-15,1970,May,15,Friday,Spring,False,,False
1970-05-16,1970,May,16,Saturday,Spring,True,,False
1970-05-17,1970,May,17,Sunday,Spring,True,Eerste Pinksterdag,False
1970-05-18,1970,May,18,Monday,Spring,False,Tweede Pinksterdag,False
1970-05-19,1970,May,19,Tuesday,Spring,False,,False
1970-05-20,1970,May,20,Wednesday,Spring,False,,False
1970-05-21,1970,May,21,Thursday,Spring,False,,False
1970-05-22,1970,May,22,Friday,Spring,False,,False
1970-05-23,1970,May,23,Saturday,Spring,True,,False
1970-05-24,1970,May,24,Sunday,Spring,True,,False
1970-05-25,1970,May,25,Monday,Spring,False,,False
1970-05-26,1970,May,26,Tuesday,Spring,False,,False
1970-05-27,1970,May,27,Wednesday,Spring,False,,False
1970-05-28,1970,May,28,Thursday,Spring,False,,False
1970-05-29,1970,May,29,Friday,Spring,False,,False
1970-05-30,1970,May,30,Saturday,Spring,True,,False
1970-05-31,1970,May,31,Sunday,Spring,True,,False
1970-06-01,1970,June,1,Monday,Summer,False,,False
1970-06-02,1970,June,2,Tuesday,Summer,False,,False
1970-06-03,1970,June,3,Wednesday,Summer,False,,False
1970-06-04,1970,June,4,Thursday,Summer,False,,False
1970-06-05,1970,June,5,Friday,Summer,False,,False
1970-06-06,1970,June,6,Saturday,Summer,True,,False
1970-06-07,1970,June,7,Sunday,Summer,True,,False
1970-06-08,1970,June,8,Monday,Summer,False,,False
1970-06-09,1970,June,9,Tuesday,Summer,False,,False
1970-06-10,1970,June,10,Wednesday,Summer,False,,False
1970-06-11,1970,June,11,Thursday,Summer,False,,False
1970-06-12,1970,June,12,Friday,Summer,False,,False
1970-06-13,1970,June,13,Saturday,Summer,True,,False
1970-06-14,1970,June,14,Sunday,Summer,True,,False
1970-06-15,1970,June,15,Monday,Summer,False,,False
1970-06-16,1970,June,16,Tuesday,Summer,False,,False
1970-06-17,1970,June,17,Wednesday,Summer,False,,False
1970-06-18,1970,June,18,Thursday,Summer,False,,False
1970-06-19,1970,June,19,Friday,Summer,False,,False
1970-06-20,1970,June,20,Saturday,Summer,True,,False
1970-06-21,1970,June,21,Sunday,Summer,True,,False
1970-06-22,1970,June,22,Monday,Summer,False,,False
1970-06-23,1970,June,23,Tuesday,Summer,False,,False
1970-06-24,1970,June,24,Wednesday,Summer,False,,False
1970-06-25,1970,June,25,Thursday,Summer,False,,False
1970-06-26,1970,June,26,Friday,Summer,False,,False
1970-06-27,1970,June,27,Saturday,Summer,True,,False
1970-06-28,1970,June,28,Sunday,Summer,True,,False
1970-06-29,1970,June,29,Monday,Summer,False,,False
1970-06-30,1970,June,30,Tuesday,Summer,False,,False
1970-07-01,1970,July,1,Wednesday,Summer,False,,False
1970-07-02,1970,July,2,Thursday,Summer,False,,False
1970-07-03,1970,July,3,Friday,Summer,False,,False
1970-07-04,1970,July,4,Saturday,Summer,True,,False
1970-07-05,1970,July,5,Sunday,Summer,True,,False
1970-07-06,1970,July,6,Monday,Summer,False,,False
1970-07-07,1970,July,7,Tuesday,Summer,False,,False
1970-07-08,1970,July,8,Wednesday,Summer,False,,False
1970-07-09,1970,July,9,Thursday,Summer,False,,False
1970-07-10,1970,July,10,Friday,Summer,False,,False
1970-07-11,1970,July,11,Saturday,Summer,True,,False
1970-07-12,1970,July,12,Sunday,Summer,True,,False
1970-07-13,1970,July,13,Monday,Summer,False,,False
1970-07-14,1970,July,14,Tuesday,Summer,False,,False
1970-07-15,1970,July,15,Wednesday,Summer,False,,False
1970-07-16,1970,July,16,Thursday,Summer,False,,False
1970-07-17,1970,July,17,Friday,Summer,False,,False
1970-07-18,1970,July,18,Saturday,Summer,True,,False
1970-07-19,1970,July,19,Sunday,Summer,True,,False
1970-07-20,1970,July,20,Monday,Summer,False,,False
1970-07-21,1970,July,21,Tuesday,Summer,False,,False
1970-07-22,1970,July,22,Wednesday,Summer,False,,False
1970-07-23,1970,July,23,Thursday,Summer,False,,False
1970-07-24,1970,July,24,Friday,Summer,False,,False
1970-07-25,1970,July,25,Saturday,Summer,True,,False
1970-07-26,1970,July,26,Sunday,Summer,True,,False
1970-07-27,1970,July,27,Monday,Summer,False,,False
1970-07-28,1970,July,28,Tuesday,Summer,False,,False
1970-07-29,1970,July,29,Wednesday,Summer,False,,False
1970-07-30,1970,July,30,Thursday,Summer,False,,False
1970-07-31,1970,July,31,Friday,Summer,False,,False
1970-08-01,1970,August,1,Saturday,Summer,True,,False
1970-08-02,1970,August,2,Sunday,Summer,True,,False
1970-08-03,1970,August,3,Monday,Summer,False,,False
1970-08-04,1970,August,4,Tuesday,Summer,False,,False
1970-08-05,1970,August,5,Wednesday,Summer,False,,False
1970-08-06,1970,August,6,Thursday,Summer,False,,False
1970-08-07,1970,August,7,Friday,Summer,False,,False
1970-08-08,1970,August,8,Saturday,Summer,True,,False
1970-08-09,1970,August,9,Sunday,Summer,True,,False
1970-08-10,1970,August,10,Monday,Summer,False,,False
1970-08-11,1970,August,11,Tuesday,Summer,False,,False
1970-08-12,1970,August,12,Wednesday,Summer,False,,False
1970-08-13,1970,August,13,Thursday,Summer,False,,False
1970-08-14,1970,August,14,Friday,Summer,False,,False
1970-08-15,1970,August,15,Saturday,Summer,True,,False
1970-08-16,1970,August,16,Sunday,Summer,True,,False
1970-08-17,1970,August,17,Monday,Summer,False,,False
1970-08-18,1970,August,18,Tuesday,Summer,False,,False
1970-08-19,1970,August,19,Wednesday,Summer,False,,False
1970-08-20,1970,August,20,Thursday,Summer,False,,False
1970-08-21,1970,August,21,Friday,Summer,False,,False
1970-08-22,1970,August,22,Saturday,Summer,True,,False
1970-08-23,1970,August,23,Sunday,Summer,True,,False
